:End-User Support

mozilla.dev.tech.ldap                   For discussions about the C SDK, Java SDK, and PerLDAP, which are toolkits for developing <a href="../directory/">LDAP</a> applications.
mozilla.dev.tech.mathml                 For discussions about the <a href="../projects/mathml/">implementation</a> of W3C's <a href="http://www.w3.org/Math/">Mathematical Markup Language</a>.
mozilla.dev.tech.network                For discussions about the Mozilla Networking Library, a.k.a. <a href="../projects/netlib/">netlib</a>.
mozilla.dev.tech.nspr                   For discussions about the <a href="../projects/nspr/">portable runtime</a> code used by Mozilla.
mozilla.dev.tech.plugins                For discussions about <a href="../projects/plugins/">plug-ins</a>. Developers may also check out the <a href="#dev-tech-java">Java</a> and <a href="#dev-tech-nspr" title="Netscape Portable Runtime">NSPR</a> forums.
mozilla.dev.tech.rdf                    For discussions about the Resource Description Framework (<a href="http://www.w3.org/RDF/FAQ">RDF</a>) including the <a href=" http://home.netscape.com/comprod/products/communicator/future/aurora.html">Aurora</a> module.
mozilla.dev.tech.sql                    For discussions about using SQL in Mozilla.
mozilla.dev.tech.svg                    This is the project forum for implementing Scalable Vector Graphics (<a href="../projects/svg/">SVG</a>) in Mozilla.
mozilla.dev.tech.xbl                    For discussion about the XML Bindings Language (XBL).
mozilla.dev.tech.xforms                 For discussion about XForms in Firefox and Mozilla.
mozilla.dev.tech.xml                    For discussions about using XML in Mozilla.
mozilla.dev.tech.xpcom                  This forum is for discussions about the Cross-Platform Component Object Model (<a href="../projects/xpcom/">XPCOM</a>) that we are using to purvey and discover interfaces between independently versioned and loaded modules. XPCOM combined with XPIDL also provides <a  href="../scriptable/">scriptability</a>.
mozilla.dev.tech.xpinstall              For discussions about <a href="../projects/xpinstall/">installation</a> related technology in Mozilla including packaging and updating.
mozilla.dev.tech.xslt                   For discussions of use of the <a href="http://www.w3.org/TR/xslt">XSL Transformations</a> language in the Mozilla layout engine.
mozilla.dev.tech.xul                    For discussion about the XML-based User-interface Language (XUL).

:Application Development

mozilla.dev.apps.bugzilla               For development of the Bugzilla bug-tracking system (for support, see <a href="#support-bugzilla">mozilla.support.bugzilla</a>).
mozilla.dev.apps.calendar               For development of the standard-based <a href="../projects/calendar/">Calendar</a> projects - Sunbird and Lightning.
mozilla.dev.apps.camino                 For development of the Camino native Mac OS X browser.
mozilla.dev.apps.chatzilla              For development of the Chatzilla IRC chat extension.
mozilla.dev.apps.dom-inspector          For development of the DOM Inspector, an extension to help web developers peer inside pages.
mozilla.dev.apps.firefox                For development of Firefox, a lightweight browser built on the Mozilla platform.
mozilla.dev.apps.js-debugger            For discussions about the JavaScript Debugger (<a href="../projects/venkman/">Venkman</a>). Questions about how to use, program, or document the debugger, as well as feature requests are on-topic here.
mozilla.dev.apps.minimo                 For discussions about porting Mozilla to small devices (the Minimo project).
mozilla.dev.apps.seamonkey              This forum is for developers working on <a href="../projects/seamonkey/">Seamonkey</a>, the community continuation of the Mozilla software suite.
mozilla.dev.apps.thunderbird            For development of Thunderbird, an email client built on the Mozilla platform.
mozilla.dev.apps.webtools               mozilla.org has developed several Web-based tools for code management, including <a href="../bonsai.html">Bonsai</a> (CVS queries), and <a href="../tinderbox.html">Tinderbox</a> (continuous automated builds). This forum is for discussion of their development. (For the Bugzilla bug-tracking system, see <a href="#dev-apps-bugzilla">above</a>.)
mozilla.dev.apps.other                  For development of other mozilla.org software not covered by a more specific group.

:Ports To Other OSes

mozilla.dev.ports.os2                   For discussions about <a href="../ports/os2/">porting Mozilla to OS/2</a>.
